"Year","Treatment","Box","DoY_Incub","DoY_Hatch","ClutchSize","EggsHatched","nSurvivingDay5","nSurvivingDay7","nSurvivingDay10","nSurvivingDay15","ChicksFledged"
"2017","Control",1,118,132,10,10,10,10,10,10,10
"2017","Heated",8,117,133,9,7,7,7,7,7,7
"2017","Control",9,113,130,9,3,3,3,3,3,3
"2017","Heated",10,108,122,6,5,5,5,5,4,4
"2017","Heated",12,106,120,9,9,9,9,7,2,2
"2017","Heated",16,116,132,9,9,9,9,9,9,9
"2017","Control",19,109,128,7,5,5,5,5,4,4
"2017","Heated",23,113,129,7,5,0,0,0,0,0
"2017","Control",24,115,132,9,7,7,7,7,7,7
"2017","Control",26,106,122,9,8,8,7,1,0,0
"2017","Heated",31,107,121,10,8,8,8,7,7,7
"2017","Heated",36,NA,129,7,3,3,3,3,3,3
"2017","Control",43,118,132,7,7,7,7,7,7,7
"2017","Heated",46,114,133,9,8,8,8,8,8,8
"2017","Control",48,113,129,7,5,5,5,5,5,5
"2017","Control",51,124,142,9,9,9,9,9,9,9
"2017","Control",52,115,129,10,9,9,8,8,8,8
"2017","Heated",53,113,127,7,6,6,6,6,6,6
"2017","Control",58,114,132,4,2,2,2,2,2,2
"2017","Heated",60,122,138,7,6,6,6,6,6,6
"2017","Control",62,126,141,6,6,6,6,6,0,0
"2017","Control",67,131,144,8,8,8,8,8,8,8
"2017","Heated",68,120,135,10,10,10,10,10,10,10
"2017","Control",72,122,134,8,8,8,8,8,7,7
"2017","Heated",84,106,122,8,6,5,5,4,4,4
"2017","Control",87,98,129,10,4,4,4,4,4,4
"2017","Control",89,114,128,8,7,7,7,7,7,7
"2017","Control",95,118,131,6,5,5,5,5,5,5
"2017","Control",96,126,141,7,7,7,7,7,7,7
"2017","Heated",99,111,124,7,7,7,7,7,3,3
"2018","Control",1,120,135,8,8,8,8,8,8,8
"2018","Control",2,128,139,9,9,9,9,9,9,9
"2018","Control",5,110,128,8,8,8,8,8,8,8
"2018","Heated",6,135,146,5,5,4,4,4,4,4
"2018","Heated",8,130,141,8,8,8,8,8,8,8
"2018","Heated",12,114,128,8,6,5,5,5,5,5
"2018","Control",19,118,133,7,6,6,6,6,6,6
"2018","Heated",25,119,131,7,6,6,6,6,6,6
"2018","Heated",27,132,143,7,7,7,7,7,4,4
"2018","Control",32,118,130,11,11,11,10,10,10,10
"2018","Heated",34,122,136,8,8,8,8,8,8,8
"2018","Heated",36,124,136,8,8,8,8,8,7,7
"2018","Control",37,118,130,9,9,9,9,9,9,9
"2018","Control",40,119,132,9,8,8,8,8,8,8
"2018","Heated",46,119,136,10,10,8,8,8,8,8
"2018","Control",49,121,131,8,7,7,7,7,7,7
"2018","Control",50,120,133,9,8,8,8,8,8,8
"2018","Control",51,119,133,9,9,9,9,9,9,9
"2018","Heated",52,123,137,8,7,7,7,7,6,6
"2018","Heated",53,121,133,8,8,8,8,8,8,8
"2018","Control",55,119,131,7,6,6,6,6,6,6
"2018","Control",57,124,136,9,8,8,8,8,8,8
"2018","Heated",58,124,136,10,8,8,8,8,8,8
"2018","Control",67,128,140,8,8,8,8,7,6,6
"2018","Control",69,123,136,10,9,9,9,8,6,6
"2018","Heated",71,116,133,5,5,5,5,5,5,5
"2018","Heated",78,121,133,7,7,7,7,7,7,7
"2018","Heated",79,NA,140,6,4,4,4,2,2,2
"2018","Heated",82,122,137,10,10,10,5,5,5,5
"2018","Heated",85,125,138,9,9,9,9,9,9,9
"2018","Control",88,118,130,10,10,10,10,10,10,10
"2018","Control",89,123,140,10,6,4,4,4,4,6
"2018","Heated",91,124,138,8,8,8,8,8,7,7
"2018","Heated",92,135,145,7,6,6,6,6,6,6
"2018","Control",96,119,134,8,1,1,1,1,1,1
"2018","Heated",97,126,141,5,5,5,5,5,5,5
