Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Nedbør (mnd)
Bergen - Florida;SN50540;01.1957;3,7;-
Bergen - Florida;SN50540;02.1957;2,2;-
Bergen - Florida;SN50540;03.1957;5,5;-
Bergen - Florida;SN50540;04.1957;6,7;-
Bergen - Florida;SN50540;05.1957;9,4;-
Bergen - Florida;SN50540;06.1957;11,8;-
Bergen - Florida;SN50540;07.1957;14,5;-
Bergen - Florida;SN50540;08.1957;14,1;-
Bergen - Florida;SN50540;09.1957;10,7;-
Bergen - Florida;SN50540;10.1957;8,5;-
Bergen - Florida;SN50540;11.1957;5;-
Bergen - Florida;SN50540;12.1957;3,1;-
Bergen - Florida;SN50540;01.1958;0,9;-
Bergen - Florida;SN50540;02.1958;-1;-
Bergen - Florida;SN50540;03.1958;0,2;-
Bergen - Florida;SN50540;04.1958;4,8;-
Bergen - Florida;SN50540;05.1958;7,8;-
Bergen - Florida;SN50540;06.1958;14;-
Bergen - Florida;SN50540;07.1958;15,2;-
Bergen - Florida;SN50540;08.1958;14,6;-
Bergen - Florida;SN50540;09.1958;14,3;-
Bergen - Florida;SN50540;10.1958;9,7;-
Bergen - Florida;SN50540;11.1958;6,7;-
Bergen - Florida;SN50540;12.1958;1,6;-
Bergen - Florida;SN50540;01.1959;-0,8;-
Bergen - Florida;SN50540;02.1959;2,1;-
Bergen - Florida;SN50540;03.1959;5,7;-
Bergen - Florida;SN50540;04.1959;7,6;-
Bergen - Florida;SN50540;05.1959;10,8;-
Bergen - Florida;SN50540;06.1959;13,3;-
Bergen - Florida;SN50540;07.1959;15,6;-
Bergen - Florida;SN50540;08.1959;15,7;-
Bergen - Florida;SN50540;09.1959;11,8;-
Bergen - Florida;SN50540;10.1959;9,9;-
Bergen - Florida;SN50540;11.1959;7,3;-
Bergen - Florida;SN50540;12.1959;3,8;-
Bergen - Florida;SN50540;01.1960;0,4;-
Bergen - Florida;SN50540;02.1960;1,2;-
Bergen - Florida;SN50540;03.1960;4,8;-
Bergen - Florida;SN50540;04.1960;6,8;-
Bergen - Florida;SN50540;05.1960;11,5;-
Bergen - Florida;SN50540;06.1960;13,4;-
Bergen - Florida;SN50540;07.1960;15,2;-
Bergen - Florida;SN50540;08.1960;15,9;-
Bergen - Florida;SN50540;09.1960;12,9;-
Bergen - Florida;SN50540;10.1960;8,2;-
Bergen - Florida;SN50540;11.1960;5,5;-
Bergen - Florida;SN50540;12.1960;2,4;-
Bergen - Florida;SN50540;01.1961;0,9;-
Bergen - Florida;SN50540;02.1961;4;-
Bergen - Florida;SN50540;03.1961;4,7;-
Bergen - Florida;SN50540;04.1961;6,9;-
Bergen - Florida;SN50540;05.1961;10,2;-
Bergen - Florida;SN50540;06.1961;12,5;-
Bergen - Florida;SN50540;07.1961;14,2;-
Bergen - Florida;SN50540;08.1961;13,6;-
Bergen - Florida;SN50540;09.1961;13,4;-
Bergen - Florida;SN50540;10.1961;11,3;-
Bergen - Florida;SN50540;11.1961;5,9;-
Bergen - Florida;SN50540;12.1961;1,5;-
Bergen - Florida;SN50540;01.1962;3,2;-
Bergen - Florida;SN50540;02.1962;2,2;-
Bergen - Florida;SN50540;03.1962;0,3;-
Bergen - Florida;SN50540;04.1962;5,9;-
Bergen - Florida;SN50540;05.1962;9,2;-
Bergen - Florida;SN50540;06.1962;11,3;-
Bergen - Florida;SN50540;07.1962;14,1;-
Bergen - Florida;SN50540;08.1962;12,9;-
Bergen - Florida;SN50540;09.1962;11;-
Bergen - Florida;SN50540;10.1962;9;-
Bergen - Florida;SN50540;11.1962;3,9;-
Bergen - Florida;SN50540;12.1962;1,2;-
